city, county, latitude, longitude
Abbot, Pope, 373326N, 0884156W
Lansing, Cook, 413353N, 0873220W
Abingdon, Knox, 404816N, 0902406W
Lanton, Moultrie, 394607N, 0883621W
Adair, Mcdonough, 402508N, 0902948W
LaPlace, Macon, 394800N, 0884303W
Adams, Adams, 395155N, 0911153W
Larchland, Warren, 404912N, 0903910W
Adams Corner, Wabash, 383047N, 0874431W
Larkdale, Macon, 395318N, 0885443W
Addatorata Village, Cook, 420854N, 0875625W
LaRose, Marshall, 405856N, 0891407W
Addieville, Washington, 382329N, 0892924W
Latham, Logan, 395807N, 0890944W
Addison, Du Page, 415554N, 0875920W
Latham Park, Winnebago, 422206N, 0890346W
Adeline, Ogle, 420836N, 0892925W
Latona, Jasper, 385850N, 0881842W
Aden, Hamilton, 381430N, 0882730W
Laura, Stark, 405517N, 0895535W
Adrian, Hancock, 403115N, 0911001W
Laurette, Mclean, 401931N, 0883236W
Advance, Jasper, 390924N, 0880144W
Lawler, Gallatin, 374341N, 0881709W
Afolkey, Stephenson, 422557N, 0893428W
Lawn Ridge, Marshall, 405826N, 0893745W
Agnew, Whiteside, 414712N, 0894800W
Lawndale, Logan, 401305N, 0891657W
Ahern, Kankakee, 410915N, 0873617W
Lawrence, Boone, 422628N, 0883828W
Aiken, Jo Daviess, 422109N, 0902455W
Lawrenceville, Lawrence, 384345N, 0874054W
Akin, Franklin, 375916N, 0884508W
Layfield, Perry, 380623N, 0892607W
Akin, Franklin, 375917N, 0884451W
Le Claire, Madison, 384744N, 0895725W
Akin Junction, Franklin, 380036N, 0884541W
Le Roy, Mclean, 402107N, 0884551W
Akron, Peoria, 405414N, 0893914W
Leaf River, Ogle, 420732N, 0892413W
Aladdin, Pike, 394259N, 0911923W
Leamington, Gallatin, 373822N, 0881825W
Albany, Whiteside, 414722N, 0901309W
Lebanon, St Clair, 383614N, 0894826W
Albers, Clinton, 383236N, 0893644W
Ledford, Saline, 374200N, 0883524W
Albion, Edwards, 382239N, 0880322W
Lee, Lee, 414742N, 0885629W
Alda, Washington, 382746N, 0891412W
